ID_TRANSAZIONE,ID_CLIENTE,NOME,COGNOME,TELEFONO,EMAIL,INDIRIZZO_RESIDENZA,CITTA_RESIDENZA,NAZIONE_RESIDENZA,RISCHIO_NAZIONE_RESIDENZA,INDIRIZZO_IP,CITTA_LOCALIZZAZIONE,NAZIONE_LOCALIZZAZIONE,RISCHIO_NAZIONE_LOCALIZZAZIONE,N_CARTA_DI_CREDITO,IMPORTO_ORDINE,TIMESTAMP_ORDINE,PRODOTTO,QUANTITA,INDIRIZZO_SPEDIZIONE,CITTA_SPEDIZIONE,NAZIONE_SPEDIZIONE,RISCHIO_NAZIONE_SPEDIZIONE
1,51,Allen,Smith,1789841078,robinsonrobert@yahoo.com,"66351 Angela Key
Christopherport, KS 69267",Rochabury,Netherlands,False,63.59.110.136,Lake Julie,France,False,1498652128,509,2021-06-14 09:16:53,Realigned heuristic Graphic Interface,15,"700 Miller Isle
North Elizabethland, DE 19940",North Davidview,Ethiopia,True
2,336,James,Sutton,1800046396,rsmith@yahoo.com,"429 Harrell Landing Suite 124
West James, WV 87012",Chelseafurt,Kosovo,True,92.146.69.51,Riveraland,British Virgin Islands,False,2103150419,1159,2020-04-18 03:18:38,Open-source multi-tasking approach,32,"4242 Nathan Burgs Apt. 844
Elizabethchester, MS 79353",Richardburgh,US Virgin Islands,False
3,431,Kristina,Navarro,2007979488,ocruz@johnson.net,"0605 Brian Alley
Sherrifort, VA 84322",East Penny,Dominican Republic,False,104.169.124.135,Cunninghamhaven,Saint Helena,False,1495929137,675,2019-10-03 08:37:05,Organic system-worthy intranet,15,"8419 Pierce Rapid Suite 844
Burkemouth, MN 87777",Port Caroline,Dominican Republic,False
4,245,David,Washington,1984427856,browntheodore@summers.com,"4383 Donna Ways
North Ericland, NH 62826",New Lindsey,Benin,True,217.42.95.227,Victoriachester,Australia,True,1182089105,702,2019-06-17 06:04:57,Streamlined directional support,21,"53711 Brown Knoll
New Patricia, MI 79029",Lake Hayleyhaven,South Georgia And The South Sandwich Islands,True
5,151,Lucas,Brown,1436105951,frances82@hotmail.com,"32348 Emily Knoll
Orozcofort, PA 24942",New James,Bulgaria,False,190.14.192.207,Olsenport,Panama,False,1686588449,1195,2020-03-19 00:08:45,Reverse-engineered 24hour task-force,27,"1644 Carol Turnpike Apt. 166
Lake Christineville, CT 56409",South Brendaburgh,Mauritania,False
6,15,Robert,Ortiz,1233962988,speterson@thomas.org,"24876 Sanders Views Suite 263
East Daniel, MN 34470",Alexisberg,United Kingdom,True,76.254.164.189,East Larry,Svalbard And Jan Mayen,True,1599164539,510,2021-04-17 07:12:57,Assimilated incremental functionalities,15,"Unit 4931 Box 8273
DPO AP 28978",East Kevin,Togo,False
7,464,Kimberly,Phillips,1979092348,justinprice@yahoo.com,"5324 Austin Junction
Wilsonville, MS 47137",Marshallfort,Senegal,False,5.72.106.142,Scottport,Greece,True,1143986829,1543,2019-08-14 16:25:13,Diverse background website,49,"7664 Nicole Skyway Suite 273
Taylorshire, OK 57682",Mcguireview,Nicaragua,False
8,43,Sean,Adams,2092203010,clarkvictoria@rodriguez-ross.com,"PSC 9260, Box 6832
APO AE 85697",North Katelyn,Nauru,True,99.227.218.211,Kathrynberg,Albania,True,1924884890,1463,2021-10-21 13:58:43,Multi-channeled impactful leverage,44,"565 Derrick Field Suite 180
Millerville, DE 34187",Port Jeffreymouth,Eritrea,True
9,67,April,Elliott,1387416976,nicholascastillo@yahoo.com,"USS Allen
FPO AE 46511",Fryberg,Greece,True,115.250.133.135,Murrayburgh,Sao Tome And Principe,True,1139966977,1012,2021-03-16 17:37:06,Enterprise-wide maximized infrastructure,6,"Unit 6827 Box 4203
DPO AA 51480",West Kellyberg,Vietnam,True
10,332,Barbara,Dixon,1333804303,vanessalee@hotmail.com,"39327 Cynthia Fort
East Tonyport, ND 35329",Smithshire,Cambodia,True,95.226.251.136,East Tammy,Saint Helena,False,1972784151,564,2019-10-01 23:42:02,Ergonomic 5thgeneration approach,24,"44092 Andrew Pines Apt. 201
Jenniferport, AZ 25355",Danielleview,United Arab Emirates,True
