ID_CLIENTE,NOME,COGNOME,TELEFONO,EMAIL,INDIRIZZO_RESIDENZA,CITTA_RESIDENZA,NAZIONE_RESIDENZA,RISCHIO_NAZIONE_RESIDENZA
1,Michael,Reeves,2035615874,knoxsamantha@bush.org,"442 Bryan Pine
Kevinmouth, GA 26458",Leeshire,Australia,True
2,Stacy,Smith,1786258241,loweryeric@farrell-roberts.com,"487 Brian Park Apt. 181
West Matthewchester, UT 51152",Joshuatown,Mexico,True
3,Adam,Walker,1783066323,jasonreese@brown.com,"Unit 6278 Box 0127
DPO AP 16730",Francisland,Haiti,False
4,Michael,Bond,1446307167,christopherjennings@russell-gilbert.info,"9285 Stein Knoll Suite 939
Port Allenside, DC 90052",North Michael,Dominican Republic,False
5,Jason,Lopez,1849650265,lday@hotmail.com,"261 Erin Ridges Apt. 510
North Laura, CO 20343",Georgebury,Comoros,True
6,Karen,Jackson,1565774480,melaniehaynes@gmail.com,"67255 Long Ports
West Mariaside, WV 00950",Rowebury,Gambia,True
7,Aaron,Smith,1844197926,zjohnston@yahoo.com,"678 Mary Junctions Suite 271
East Staceymouth, DC 18140",Williamsland,Wallis And Futuna,True
8,Michael,Henson,1761738503,bsullivan@hotmail.com,"PSC 2512, Box 3472
APO AA 47595",Port Johnport,Turkey,False
9,Nathaniel,Chavez,1446305313,martinezarthur@jenkins.com,"4315 Lisa Stravenue Apt. 468
Jamesberg, HI 29576",Jasontown,Uruguay,True
10,Rhonda,Martinez,1471051392,joneskevin@gmail.com,"531 Parrish Pike Suite 392
Lake Allisonside, NV 64796",Herrerachester,United Arab Emirates,True
11,Brittney,James,2033792713,wujames@yahoo.com,"6235 Mendez Plaza Apt. 913
South Jillmouth, WV 32917",Zacharyfort,Dominica,False
12,Kevin,Cooper,1800955408,falvarez@yahoo.com,"8143 Gregory Manor Apt. 544
Lake Michellemouth, NC 68900",West Brenda,Vanuatu,True
13,Jessica,Morton,1939144635,mchristensen@yahoo.com,"148 Hicks Center Apt. 761
Jeanneton, NY 10760",Irwinland,Cuba,True
14,Julia,Newman,2107431781,hallhaley@pierce.com,"008 Donald Landing Apt. 833
Jenniferville, MA 18615",Lake Christopher,South Georgia And The South Sandwich Islands,True
15,Robert,Ortiz,1233962988,speterson@thomas.org,"24876 Sanders Views Suite 263
East Daniel, MN 34470",Alexisberg,United Kingdom,True
16,Steven,Johnson,2017860847,brownyolanda@hotmail.com,"49913 Miller Lodge Apt. 747
Davidmouth, WY 61281",Lake Kristenland,Slovenia,True
17,Kaitlin,Larson,1203737625,dylan63@sanchez-bryant.net,"91345 Frank Passage
New Lisahaven, AL 18456",Wilsonton,Burkina Faso,False
18,Ashley,Hughes,1520530001,powelljenna@yahoo.com,"97980 Patricia Rapid Suite 087
North Kaitlynland, CT 65685",Port Christine,Antarctica,False
19,Chris,Johnson,1633795361,connorwaller@gmail.com,"4979 Deanna Park Suite 464
South Peterhaven, AK 35353",West Matthewfort,Guinea-bissau,False
20,Nichole,Case,1370331371,thomasjoe@jenkins-long.net,"045 Ann Place Apt. 112
North Kristenport, MD 77138",Lanceland,Turks And Caicos Islands,True
21,Jordan,Evans,1116371791,orichards@hotmail.com,"63370 Henry Parks
East Troy, HI 27872",Lake Davidfort,Austria,True
22,Mark,Brewer,1206779327,keithwarner@patel.com,"436 Hernandez Squares
Aaronburgh, IA 32906",North Michaelhaven,Austria,True
23,Ana,Jones,1274635786,vargasgeorge@hotmail.com,"666 Austin Pike Suite 641
West Christine, DC 96890",Trevorburgh,Pitcairn,False
24,Shawn,Perez,1856792479,clopez@frost.com,"11015 Jimenez Haven Apt. 825
New Nathanburgh, PA 82250",Kimberlyport,Argentina,True
25,Richard,Sawyer,1284084368,andrea36@yahoo.com,"3543 Jackson Springs
West Roberthaven, MN 16738",South Jacobville,Svalbard And Jan Mayen,True
26,Bianca,Smith,2006865322,jennifer39@yahoo.com,"78977 David Burgs
Huntville, NM 04885",Madisonmouth,Qatar,False
27,Jessica,Joseph,1209143628,jamesacevedo@wheeler.com,"277 Moore Roads
Haydenland, MD 99340",Kevinton,Morocco,True
28,Kendra,Rowe,1989259908,walterduffy@gmail.com,"397 Parker Crossing Apt. 701
Shaneville, IN 16725",Juliebury,Namibia,False
29,Christopher,Davis,1851343033,erika05@yahoo.com,"6666 Crystal Causeway
Anthonymouth, AZ 32872",Lake Maryfurt,Kiribati,True
30,Nicole,Robinson,1250918012,wstanley@gmail.com,"811 Moore Glens
Lake Katherine, WV 07650",Mitchellfort,Anguilla,True
31,Heather,Nichols,2013574555,mroth@gmail.com,"Unit 9811 Box 2229
DPO AP 21003",Lewisbury,Cape Verde,True
32,Jacob,Gibson,1473222437,samuel19@blackwell-watson.com,"746 Acosta Valleys
Port Whitney, AR 62209",Barkerport,Seychelles,True
33,Heather,Lloyd,1364365488,reynoldsrichard@boyd.biz,"82562 Clark Meadows Suite 923
Stantonhaven, NE 52522",Lake Linda,Central African Republic,False
34,Matthew,Hernandez,2046236863,youngdarren@hotmail.com,"2204 Wright Drive
East Marystad, NV 44289",Courtneybury,French Polynesia,True
35,Karen,Gallagher,1649636487,rachelhenderson@medina.com,"015 Samantha Lane Apt. 381
Port Davidland, CO 07882",Carolynhaven,Tunisia,False
36,James,Allen,1846136501,mcgrathcory@rosales.org,"Unit 1148 Box 7193
DPO AP 02922",East Kayla,Kyrgyzstan,False
37,Jennifer,Pittman,1175340574,sherri41@orr.net,"704 Brown Rapid Suite 350
Gardnertown, CO 13449",South Donnaberg,Georgia,False
38,Karla,Montoya,1582156312,fsmith@hotmail.com,"150 Michele Plaza
Lloydhaven, SD 52967",Goodville,Guinea-bissau,False
39,Lisa,Robinson,1443750902,courtney06@yahoo.com,"81044 Meyers Land
Port Traciville, SC 28359",Rachelberg,Bulgaria,False
40,Alex,Jordan,1555709923,marthagonzalez@yahoo.com,"PSC 6990, Box 5041
APO AA 91878",Brownland,Norway,False
41,Chelsea,Henderson,1508608473,shelbyvelazquez@robertson.info,"66160 Young Estate Apt. 266
Janetberg, AL 47897",Clarkchester,Andorra,True
42,Jonathan,Conway,1925602590,alanbrown@hernandez-armstrong.com,"918 Samantha Locks
South Michaelabury, SD 11522",Kimberlyview,Estonia,False
43,Sean,Adams,2092203010,clarkvictoria@rodriguez-ross.com,"PSC 9260, Box 6832
APO AE 85697",North Katelyn,Nauru,True
44,Jennifer,Benton,2071288462,jmays@gmail.com,"070 Harris Lock
North Haroldbury, TX 56986",Arnoldshire,Burundi,False
45,Heather,Roberts,1429964951,jstevenson@gmail.com,"94672 Collier Lodge
Mariamouth, OR 14189",Cranebury,United States Minor Outlying Islands,True
46,Michele,Hart,1955968819,pprice@harris.com,"948 Arellano Manors
West Manuel, WA 95131",South Danielfurt,Cook Islands,True
47,Christina,Guzman,2010496278,kristinwhite@yahoo.com,"7452 Winters Locks Suite 030
Port Calebberg, AL 75338",Thomasside,Turkey,False
48,Betty,Franklin,1369062936,bryantcharles@gmail.com,"17235 Thomas Terrace
Smithmouth, NV 74704",Gomezland,Cayman Islands,True
49,Dana,Hughes,1664537768,nholmes@hotmail.com,"738 Katelyn View
West Michelle, AZ 30903",Port Chasefurt,Hungary,True
50,Patrick,Bowen,1698650207,marydavis@nelson-lindsey.com,"73301 Edwin Port Suite 150
Lake Brian, GA 98683",New Donaldfurt,Lithuania,False
51,Allen,Smith,1789841078,robinsonrobert@yahoo.com,"66351 Angela Key
Christopherport, KS 69267",Rochabury,Netherlands,False
52,Kyle,Baker,2054913026,brittanyrodriguez@ho.com,"495 Misty Branch Apt. 154
New Ashleytown, NY 36586",Brandifurt,Panama,False
53,Ronald,Jones,1474450199,vmiller@yahoo.com,"39961 Lisa Light Apt. 365
East Keithview, VA 07798",South Johnmouth,South Georgia And The South Sandwich Islands,True
54,Casey,Garner,2109298266,dellis@york.info,"11725 Stacy Pines
Wrightberg, ID 17921",Albertmouth,East Timor,True
55,Monica,Mejia,1852305917,glassderrick@flynn.com,"595 Fry Lakes Apt. 864
South Craigton, CT 93543",West Jasonland,Somalia,False
56,Michelle,Gonzales,1335372889,chelsea76@gmail.com,"043 Rodriguez Club Suite 916
Gabriellaburgh, NY 10266",Nicholasview,Antarctica,False
57,Kristen,Henry,1560446599,vazquezcynthia@aguirre-garza.com,"005 Joshua Mission
Gregoryview, MA 93404",Russellhaven,Bulgaria,False
58,Gregory,Hernandez,1376939295,xwright@jones-hernandez.com,"0303 Rodgers Roads Apt. 713
Port Victoriafurt, OK 81721",North Stacyshire,Mauritania,False
59,Kenneth,Stewart,1260164889,lisa89@yahoo.com,"0998 Timothy Ferry
Lake Amandafurt, NY 87472",Carrburgh,Zambia,True
60,Carrie,Harris,1412661101,xdiaz@hotmail.com,"Unit 0233 Box 3653
DPO AE 76355",South Nicolasmouth,Guatemala,True
61,Paul,Nguyen,1440064465,arellanoteresa@gmail.com,"07463 Robinson Mountains
Cookhaven, ND 73912",North Donna,New Zealand,True
62,Angela,Ferguson,2036491502,robertthompson@yahoo.com,"08896 Coleman Village
Jacobborough, NY 53456",New Leon,Gibraltar,False
63,Carlos,Shelton,1206796697,larasandy@gmail.com,"891 Amy Corner Suite 642
Reyesville, CT 76707",Millermouth,Ireland,False
